date,mintemp,maxtemp,precipitation,station_id
19850101,172,67,79,USC00336781
19850102,200,11,25,USC00336781
19850103,33,-6,0,USC00336781
19850104,28,-22,20,USC00336781
19850105,11,-22,114,USC00336781
19850106,28,-11,0,USC00336781
19850107,44,-22,0,USC00336781
19850108,33,-11,0,USC00336781
19850109,17,-122,0,USC00336781
19850110,17,-94,20,USC00336781
19850111,0,-67,41,USC00336781
19850112,-28,-100,0,USC00336781
19850113,-61,-111,0,USC00336781
19850114,17,-83,0,USC00336781
19850115,17,-106,0,USC00336781
19850116,-33,-161,0,USC00336781
19850117,17,-67,51,USC00336781
19850118,22,-56,0,USC00336781
19850119,17,-61,0,USC00336781
19850120,-61,-272,38,USC00336781
19850121,-183,-267,0,USC00336781
19850122,-78,-194,0,USC00336781
19850123,-39,-117,0,USC00336781
19850124,0,-78,0,USC00336781
19850125,33,-44,0,USC00336781
19850126,17,-150,13,USC00336781
19850127,-56,-139,0,USC00336781
19850128,0,-83,0,USC00336781
19850129,0,-56,0,USC00336781
19850130,17,-100,0,USC00336781
19850131,44,-56,147,USC00336781
19850201,33,-61,66,USC00336781
19850202,-50,-106,58,USC00336781
19850203,-83,-222,13,USC00336781
19850204,-39,-211,0,USC00336781
19850205,0,-150,0,USC00336781
19850206,22,-39,0,USC00336781
19850207,6,-133,0,USC00336781
19850208,-39,-150,0,USC00336781
19850209,-28,-183,0,USC00336781
19850210,-6,-144,0,USC00336781
19850211,33,-61,0,USC00336781
19850212,72,6,122,USC00336781
19850213,17,-67,104,USC00336781
19850214,-11,-67,0,USC00336781
19850215,11,-133,0,USC00336781
19850216,-28,-167,0,USC00336781
19850217,39,-117,0,USC00336781
19850218,78,-89,0,USC00336781
19850219,83,-56,0,USC00336781
19850220,67,-61,0,USC00336781
19850221,111,-61,0,USC00336781
19850222,161,17,0,USC00336781
19850223,111,22,43,USC00336781
19850224,211,78,0,USC00336781
19850225,183,33,0,USC00336781
19850226,83,44,0,USC00336781
19850227,156,22,0,USC00336781
19850228,89,-67,0,USC00336781
19850301,111,-33,0,USC00336781
19850302,94,-6,0,USC00336781
19850303,144,-6,0,USC00336781
19850304,139,6,0,USC00336781
19850305,233,17,61,USC00336781
19850306,89,-44,0,USC00336781
19850307,67,-44,0,USC00336781
19850308,144,22,38,USC00336781
19850309,133,6,36,USC00336781
19850310,150,-28,0,USC00336781
19850311,189,28,127,USC00336781
19850312,161,50,185,USC00336781
19850313,122,-22,0,USC00336781
19850314,94,11,36,USC00336781
19850315,122,-22,0,USC00336781
19850316,111,-44,0,USC00336781
19850317,167,-22,0,USC00336781
19850318,94,-56,0,USC00336781
19850319,72,-61,0,USC00336781
19850320,178,22,0,USC00336781
19850321,206,11,0,USC00336781
19850322,128,22,18,USC00336781
19850323,100,50,13,USC00336781
19850324,128,17,33,USC00336781
19850325,189,17,30,USC00336781
